iter,t_ns,dt_ns,jitter_ns,miss,workload_ratio,cpu_load,mode
0,4527489089715,14249633,5750367,0,0.7,25.0,NORMAL
1,4527528846889,39757174,19757174,1,0.7,25.0,NORMAL
2,4527548849569,20002680,2680,0,0.7,25.0,NORMAL
3,4527568852600,20003031,3031,0,0.7,25.0,NORMAL
4,4527588850962,19998362,1638,0,0.7,25.0,NORMAL
5,4527608843824,19992862,7138,0,0.7,25.0,NORMAL
6,4527628855581,20011757,11757,0,0.7,25.0,NORMAL
7,4527648848633,19993052,6948,0,0.7,25.0,NORMAL
8,4527668850452,20001819,1819,0,0.7,25.0,NORMAL
9,4527688852190,20001738,1738,0,0.7,25.0,NORMAL
10,4527708857766,20005576,5576,0,0.7,25.0,NORMAL
11,4527728860096,20002330,2330,0,0.7,25.0,NORMAL
12,4527748847127,19987031,12969,0,0.7,25.0,NORMAL
13,4527768849997,20002870,2870,0,0.7,25.0,NORMAL
14,4527788851114,20001117,1117,0,0.7,25.0,NORMAL
15,4527808850869,19999755,245,0,0.7,25.0,NORMAL
16,4527828850093,19999224,776,0,0.7,25.0,NORMAL
17,4527848850910,20000817,817,0,0.7,25.0,NORMAL
18,4527868850464,19999554,446,0,0.7,25.0,NORMAL
19,4527888912336,20061872,61872,0,0.7,25.0,NORMAL
20,4527908850124,19937788,62212,0,0.7,25.0,NORMAL
21,4527928843517,19993393,6607,0,0.7,25.0,NORMAL
22,4527948844263,20000746,746,0,0.7,25.0,NORMAL
23,4527968850060,20005797,5797,0,0.7,25.0,NORMAL
24,4527988850115,20000055,55,0,0.7,25.0,NORMAL
25,4528008849279,19999164,836,0,0.7,25.0,NORMAL
26,4528028852139,20002860,2860,0,0.7,25.0,NORMAL
27,4528048850872,19998733,1267,0,0.7,25.0,NORMAL
28,4528068854033,20003161,3161,0,0.7,25.0,NORMAL
29,4528088853628,19999595,405,0,0.7,25.0,NORMAL
30,4528108846590,19992962,7038,0,0.7,25.0,NORMAL
31,4528128843890,19997300,2700,0,0.7,25.0,NORMAL
32,4528148844747,20000857,857,0,0.7,25.0,NORMAL
33,4528168844712,19999965,35,0,0.7,25.0,NORMAL
34,4528188843555,19998843,1157,0,0.7,25.0,NORMAL
35,4528208843751,20000196,196,0,0.7,25.0,NORMAL
36,4528228843265,19999514,486,0,0.7,25.0,NORMAL
37,4528248845114,20001849,1849,0,0.7,25.0,NORMAL
38,4528268849908,20004794,4794,0,0.7,25.0,NORMAL
39,4528288850294,20000386,386,0,0.7,25.0,NORMAL
40,4528308850850,20000556,556,0,0.7,25.0,NORMAL
41,4528328850184,19999334,666,0,0.7,25.0,NORMAL
42,4528348851001,20000817,817,0,0.7,25.0,NORMAL
43,4528368851266,20000265,265,0,0.7,25.0,NORMAL
44,4528388850701,19999435,565,0,0.7,25.0,NORMAL
45,4528408850165,19999464,536,0,0.7,25.0,NORMAL
46,4528428843297,19993132,6868,0,0.7,25.0,NORMAL
47,4528448851758,20008461,8461,0,0.7,25.0,NORMAL
48,4528468850431,19998673,1327,0,0.7,25.0,NORMAL
